layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
0,237,0.2099754810333252,0.14382237195968628,0.9943649768829346,0.5879998803138733,1.4599639177322388,237,0,0.0027226682721447114,nan,nan,nan,nan,nan,nan,nan,0.3696288333320174,0.3321653939763292,nan,nan,25.224686088011538,0,Learning and Tutoring,start,train,432,42,benign,0,237
0,248,0.2068045735359192,0.14164046943187714,0.9944302439689636,0.5860039591789246,1.4600670337677002,237,11,0.00262940431341739,0.027860533611171624,0.001820690454751087,9.493080031072168,1.2153166729145803,1.2778475076181728,0.03360891838129613,4.7009678954580085,0.38251435721889127,0.32549072680893043,0.5161290322580645,-0.00013169236698791102,26.08853771600668,0,Learning and Tutoring,start,train,432,42,injected,1,248
1,237,0.20099526643753052,0.14751611649990082,0.995738685131073,0.567173421382904,1.3625308275222778,237,0,0.003767075136590235,nan,nan,nan,nan,nan,nan,nan,0.3116043050451745,0.35628451317020104,nan,nan,24.417524720203705,0,Learning and Tutoring,start,train,432,42,benign,0,237
1,248,0.19715213775634766,0.14470437169075012,0.9958291053771973,0.564612627029419,1.362447738647461,237,11,0.0036291845754776275,0.03407564012503082,0.00263064238461614,13.716169393388554,1.2931968231043394,1.358559961602265,0.029376223834465382,4.227316128123827,0.30423611841454584,0.35934819767357085,0.5887096774193549,-0.029745001170753252,25.223343041225437,0,Learning and Tutoring,start,train,432,42,injected,1,248
2,237,0.19814281165599823,0.16171354055404663,0.9965692162513733,0.5501967072486877,1.225270390510559,237,0,0.003820254219340497,nan,nan,nan,nan,nan,nan,nan,0.3028079450718675,0.36003565180213093,nan,nan,25.303421898301558,0,Learning and Tutoring,start,train,432,42,benign,0,237
2,248,0.19310931861400604,0.1578269600868225,0.9966320395469666,0.5479996800422668,1.2235509157180786,237,11,0.0036529142209029597,0.03693857831372456,0.0029387800224241665,15.322799036919605,1.3068883089355738,1.3791737787269258,0.03083340937592722,3.9526899210693163,0.29601225285960225,0.3624744571857032,0.592741935483871,-0.030595175248805975,26.111902369389703,0,Learning and Tutoring,start,train,432,42,injected,1,248
3,237,0.5709280371665955,0.37701430916786194,0.9983117580413818,0.5361773371696472,1.5143405199050903,237,0,0.00412419211403745,nan,nan,nan,nan,nan,nan,nan,1.012822296500014,0.06368832975289923,nan,nan,82.26466219684643,0,Learning and Tutoring,start,train,432,42,benign,0,237
3,248,0.5604725480079651,0.3698807954788208,0.9983751177787781,0.5334796905517578,1.5152788162231445,237,11,0.004045549544390488,0.010116732355461202,0.002681897841456974,13.983415345356661,1.7253787559096436,1.785324621714988,0.006966129303852387,2.3854299169180266,0.9921032921894466,0.06655606852773233,0.5887096774193549,-0.029745001170753252,85.42206312638002,0,Learning and Tutoring,start,train,432,42,injected,1,248
4,237,0.5249258875846863,0.3540812134742737,0.9974040985107422,0.5546793341636658,1.4825013875961304,237,0,0.004091147955331443,nan,nan,nan,nan,nan,nan,nan,0.9654210241366049,0.11078704312577825,nan,nan,77.88864649381861,0,Learning and Tutoring,start,train,432,42,benign,0,237
4,248,0.5195726156234741,0.3500668406486511,0.9974870681762695,0.5520263910293579,1.4842097759246826,237,11,0.004025783784010975,0.01616584022571756,0.002398169087319462,12.504053621283674,1.5571151171434705,1.611146474073787,0.012603251023476054,3.363911515669118,0.9474620652055132,0.10277574187464888,0.532258064516129,-0.012320556056971263,81.23499807076634,0,Learning and Tutoring,start,train,432,42,injected,1,248
5,237,0.6400777697563171,0.3827677369117737,0.9982314109802246,0.539435088634491,1.672235369682312,237,0,0.0040238596621023455,nan,nan,nan,nan,nan,nan,nan,1.3239216017238047,0.03412341983064021,nan,nan,95.6676727523618,0,Learning and Tutoring,start,train,432,42,benign,0,237
5,248,0.6385765671730042,0.3821782171726227,0.9982921481132507,0.5370538830757141,1.6708868741989136,237,11,0.004002344513881187,0.010030421453782103,0.0020464733569164717,10.670312082962482,1.657266149446,1.703821899640622,0.007871729108116308,3.096069708487965,1.320462874919931,0.03250220238166515,0.5725806451612904,0.013956327113048717,99.76567362930581,0,Learning and Tutoring,start,train,432,42,injected,1,248
6,237,0.5311194062232971,0.34904444217681885,0.9979919791221619,0.5423532128334045,1.5216383934020996,237,0,0.004026915278811528,nan,nan,nan,nan,nan,nan,nan,1.0340049617097655,0.0941013730647325,nan,nan,83.13915322776114,0,Learning and Tutoring,start,train,432,42,benign,0,237
