layer,n_benign,n_injected,auroc_cut_conductance,dir_cut_conductance,auroc_cut_modularity,dir_cut_modularity,auroc_fiedler_value,dir_fiedler_value,auroc_spectral_entropy_norm,dir_spectral_entropy_norm,mean_separation,mean_conductance,mean_modularity,mean_accuracy,mean_ari
0,4,4,0.5,1.0,0.5625,-1.0,0.5625,-1.0,0.625,1.0,7.235430626321547,1.1586012545507614,0.02310727791707673,0.5385439305964304,-0.00034509845308462435
1,4,4,0.625,-1.0,0.5625,1.0,0.5625,-1.0,0.625,1.0,5.627926381968894,1.3071962438240576,0.019623881945438418,0.5560888666806992,-0.010059911732004196
2,4,4,0.625,1.0,0.5,1.0,0.625,-1.0,0.6875,1.0,5.550359025638646,1.299931909234018,0.020852045476099326,0.5872636793365273,-0.011244989938015518
3,4,4,0.625,-1.0,0.5625,1.0,0.6875,-1.0,0.625,1.0,3.40857474568108,1.6760930239071377,0.006479314450991644,0.5662459596580481,-0.015314554297926672
4,4,4,0.5625,-1.0,0.625,1.0,0.625,-1.0,0.625,1.0,4.739976447403432,1.5227971493168262,0.009673598026742773,0.5673929959395284,0.003791278632843792
5,4,4,0.5625,-1.0,0.5625,-1.0,0.5625,-1.0,0.6875,1.0,3.726134250928145,1.6795487670081353,0.005566525279659059,0.6292956375224908,-0.01365883688580915
6,4,4,0.5625,-1.0,0.5625,-1.0,0.5,1.0,0.6875,1.0,3.8067773080655365,1.6328647213372731,0.007362287981956798,0.5351995196569153,-0.007261487558637668
7,4,4,0.5625,-1.0,0.5,1.0,0.5,1.0,0.6875,1.0,3.017321336306856,1.7298084904000979,0.005174616872751576,0.5167228988803165,-0.0033162619799812446
8,4,4,0.5625,-1.0,0.625,1.0,0.5,1.0,0.625,1.0,3.2946979783091375,1.6960126404131803,0.005932348308908656,0.5288779164527853,-0.006830748199766461
9,4,4,0.6875,-1.0,0.6875,1.0,0.75,-1.0,0.5,1.0,4.9197018290408945,1.4858074125604541,0.011193869152641166,0.5634898824706724,0.0033453260458352913
10,4,4,0.6875,-1.0,0.625,1.0,0.5625,-1.0,0.625,1.0,3.2535484216853137,1.6861111802334396,0.006555129653632082,0.6047532443879516,-0.021203549627988025
11,4,4,0.5625,-1.0,0.5625,1.0,0.5625,-1.0,0.5625,1.0,3.408323956915,1.6403436581764483,0.00827464407345455,0.5956527802152567,-0.01681528103580219
12,4,4,0.5,1.0,0.5,1.0,0.5625,-1.0,0.6875,1.0,2.7127298001027595,1.7304940064400152,0.006271772686914618,0.5744452895642578,-0.006471877780390106
13,4,4,0.6875,-1.0,0.625,-1.0,0.5625,1.0,0.625,1.0,4.291950279484599,1.5528357565851754,0.009663303869671893,0.5540043420118392,-0.005874945166970497
14,4,4,0.5625,-1.0,0.5625,-1.0,0.625,-1.0,0.625,1.0,5.496701316661394,1.375650174721085,0.015065151967946324,0.6244715469980672,-0.021138465249840633
15,4,4,0.625,-1.0,0.5625,-1.0,0.5625,1.0,0.6875,1.0,4.9885656274798365,1.4643982971065568,0.011851138817240576,0.5512117739018354,-0.005551936377328431
16,4,4,0.5,1.0,0.5625,-1.0,0.5,1.0,0.625,1.0,4.913275941064198,1.435651481989995,0.014047821318782587,0.6392071123852163,-0.0022578143056845986
17,4,4,0.5,1.0,0.625,-1.0,0.5625,1.0,0.625,1.0,3.0845661448369555,1.7116810946679242,0.005946837662707684,0.5310068954742182,-0.008508210302756147
18,4,4,0.6875,1.0,0.75,-1.0,0.5625,-1.0,0.5625,1.0,5.562100940913261,1.3611227501261132,0.015978004249799997,0.5304105794961966,-0.005980184797533563
19,4,4,0.5625,-1.0,0.6875,-1.0,0.5,1.0,0.6875,1.0,3.745673484317522,1.5846769753031906,0.0102263553114922,0.5525039448912801,-0.006633597607374861
20,4,4,0.5,1.0,0.5,1.0,0.5625,1.0,0.625,1.0,2.638525158116453,1.7777050447251048,0.004076837458578785,0.5365656186627454,-0.0019707727776789603
21,4,4,0.5625,1.0,0.5625,-1.0,0.5,1.0,0.5625,1.0,3.148906704506156,1.6847200294241498,0.007023224620911958,0.5470697351429525,-0.003704615512395518
22,4,4,0.5625,-1.0,0.5625,1.0,0.5625,1.0,0.5625,1.0,3.3958085272003453,1.6592015168890604,0.007448919017424081,0.5291229115229541,-0.001047713890616404
23,4,4,0.5,1.0,0.5,1.0,0.5,1.0,0.5625,1.0,4.984428933882991,1.4195942963844894,0.014746920529866226,0.512276712929646,-0.002108952090165554
24,4,4,0.5625,1.0,0.625,-1.0,0.5625,1.0,0.5,1.0,7.3817870605366736,1.1905608143039854,0.01963036290283063,0.5427924820082675,-0.010497568242917173
25,4,4,0.625,1.0,0.5625,-1.0,0.6875,1.0,0.625,1.0,3.5057768037935415,1.6965700880017511,0.00536162038714809,0.7256005399971396,0.008973291391969
26,4,4,0.5625,1.0,0.5,1.0,0.5625,-1.0,0.625,1.0,4.298452323916061,1.5409560427343978,0.01022915506377918,0.5066268866511764,-0.001649650374844657
27,4,4,0.5625,-1.0,0.5625,-1.0,0.5,1.0,0.625,1.0,3.795884888294137,1.609007642794266,0.008682142131273201,0.570974883410927,0.00035284646475362575
28,4,4,0.5625,1.0,0.625,-1.0,0.625,1.0,0.5625,1.0,6.235995390690535,1.324873657440908,0.015564431137138053,0.5253107117136829,-0.0029132492965270275
29,4,4,0.5625,-1.0,0.5625,1.0,0.625,1.0,0.625,1.0,4.547678362722875,1.5477835980316816,0.00912068881940092,0.587187976329907,-0.00010896694195628733
30,4,4,0.5625,-1.0,0.5625,-1.0,0.5,1.0,0.625,1.0,3.8864828892719863,1.6240173061999443,0.007541996688367412,0.5262737393666317,-0.00012474349465476688
31,4,4,0.5625,1.0,0.625,-1.0,0.5625,1.0,0.625,1.0,3.1705898836201656,1.6806190984066833,0.007512742845316167,0.614392513710966,-0.004934379131345019
32,4,4,0.5625,-1.0,0.5,1.0,0.5625,1.0,0.625,1.0,1.457265106505245,1.9100842073888127,0.0013368367375620805,0.6607447587382279,-0.01506157497543139
33,4,4,0.5625,-1.0,0.5625,1.0,0.625,1.0,0.625,1.0,1.2877796733200988,1.928949362296105,0.0006985164822237242,0.6197471762749274,-0.010504352686983447
34,4,4,0.625,-1.0,0.5625,1.0,0.5,1.0,0.625,1.0,4.552063358073221,1.4807049807069497,0.012950030818921852,0.5974143594670211,0.0045688785439790165
35,4,4,0.625,-1.0,0.5,1.0,0.5,1.0,0.6875,1.0,4.447206416749344,1.4936680093429,0.012570140158316881,0.6041642545758856,0.004033648200259492
