layer,head,metric,auroc,direction
0,0,fiedler_value,1.0,-1.0
0,0,connectivity_ratio,1.0,-1.0
0,0,spectral_entropy_norm,1.0,1.0
0,0,hfer,1.0,-1.0
0,0,spectral_radius,1.0,1.0
0,1,fiedler_value,1.0,-1.0
0,1,connectivity_ratio,1.0,-1.0
0,1,spectral_entropy_norm,1.0,1.0
0,1,hfer,1.0,-1.0
0,1,spectral_radius,1.0,1.0
0,2,fiedler_value,1.0,-1.0
0,2,connectivity_ratio,1.0,-1.0
0,2,spectral_entropy_norm,1.0,1.0
0,2,hfer,1.0,1.0
0,2,spectral_radius,1.0,-1.0
0,3,fiedler_value,1.0,-1.0
0,3,connectivity_ratio,1.0,-1.0
0,3,spectral_entropy_norm,1.0,1.0
0,3,hfer,1.0,-1.0
0,3,spectral_radius,1.0,-1.0
0,4,fiedler_value,1.0,-1.0
0,4,connectivity_ratio,1.0,-1.0
0,4,spectral_entropy_norm,1.0,1.0
0,4,hfer,1.0,-1.0
0,4,spectral_radius,1.0,-1.0
0,5,fiedler_value,1.0,-1.0
0,5,connectivity_ratio,1.0,-1.0
0,5,spectral_entropy_norm,1.0,1.0
0,5,hfer,1.0,-1.0
0,5,spectral_radius,1.0,1.0
0,6,fiedler_value,1.0,1.0
0,6,connectivity_ratio,1.0,1.0
0,6,spectral_entropy_norm,1.0,1.0
0,6,hfer,1.0,-1.0
0,6,spectral_radius,1.0,-1.0
0,7,fiedler_value,1.0,-1.0
0,7,connectivity_ratio,1.0,-1.0
0,7,spectral_entropy_norm,1.0,1.0
0,7,hfer,1.0,1.0
0,7,spectral_radius,1.0,-1.0
0,8,fiedler_value,1.0,-1.0
0,8,connectivity_ratio,1.0,-1.0
0,8,spectral_entropy_norm,1.0,1.0
0,8,hfer,1.0,-1.0
0,8,spectral_radius,1.0,-1.0
0,9,fiedler_value,1.0,1.0
0,9,connectivity_ratio,1.0,1.0
0,9,spectral_entropy_norm,1.0,1.0
0,9,hfer,1.0,-1.0
0,9,spectral_radius,1.0,-1.0
0,10,fiedler_value,1.0,-1.0
0,10,connectivity_ratio,1.0,-1.0
0,10,spectral_entropy_norm,1.0,1.0
0,10,hfer,1.0,-1.0
0,10,spectral_radius,1.0,-1.0
0,11,fiedler_value,1.0,-1.0
0,11,connectivity_ratio,1.0,-1.0
0,11,spectral_entropy_norm,1.0,1.0
0,11,hfer,1.0,-1.0
0,11,spectral_radius,1.0,-1.0
0,12,fiedler_value,1.0,1.0
0,12,connectivity_ratio,1.0,1.0
0,12,spectral_entropy_norm,1.0,1.0
0,12,hfer,1.0,-1.0
0,12,spectral_radius,1.0,-1.0
0,13,fiedler_value,1.0,-1.0
0,13,connectivity_ratio,1.0,-1.0
0,13,spectral_entropy_norm,1.0,1.0
0,13,hfer,1.0,-1.0
0,13,spectral_radius,1.0,-1.0
0,14,fiedler_value,1.0,-1.0
0,14,connectivity_ratio,1.0,-1.0
0,14,spectral_entropy_norm,1.0,1.0
0,14,hfer,1.0,-1.0
0,14,spectral_radius,1.0,-1.0
0,15,fiedler_value,1.0,-1.0
0,15,connectivity_ratio,1.0,1.0
0,15,spectral_entropy_norm,1.0,1.0
0,15,hfer,1.0,-1.0
0,15,spectral_radius,1.0,-1.0
0,16,fiedler_value,1.0,-1.0
0,16,connectivity_ratio,1.0,-1.0
0,16,spectral_entropy_norm,1.0,1.0
0,16,hfer,1.0,-1.0
0,16,spectral_radius,1.0,-1.0
0,17,fiedler_value,1.0,-1.0
0,17,connectivity_ratio,1.0,-1.0
0,17,spectral_entropy_norm,1.0,1.0
0,17,hfer,1.0,-1.0
0,17,spectral_radius,1.0,-1.0
0,18,fiedler_value,1.0,-1.0
0,18,connectivity_ratio,1.0,-1.0
0,18,spectral_entropy_norm,1.0,1.0
0,18,hfer,1.0,-1.0
0,18,spectral_radius,1.0,-1.0
0,19,fiedler_value,1.0,-1.0
0,19,connectivity_ratio,1.0,-1.0
0,19,spectral_entropy_norm,1.0,1.0
0,19,hfer,1.0,-1.0
0,19,spectral_radius,1.0,-1.0
0,20,fiedler_value,1.0,-1.0
0,20,connectivity_ratio,1.0,-1.0
0,20,spectral_entropy_norm,1.0,1.0
0,20,hfer,1.0,-1.0
0,20,spectral_radius,1.0,-1.0
0,21,fiedler_value,1.0,-1.0
0,21,connectivity_ratio,1.0,-1.0
0,21,spectral_entropy_norm,1.0,1.0
0,21,hfer,1.0,-1.0
0,21,spectral_radius,1.0,-1.0
0,22,fiedler_value,1.0,-1.0
0,22,connectivity_ratio,1.0,-1.0
0,22,spectral_entropy_norm,1.0,1.0
0,22,hfer,1.0,-1.0
0,22,spectral_radius,1.0,-1.0
0,23,fiedler_value,1.0,-1.0
0,23,connectivity_ratio,1.0,-1.0
0,23,spectral_entropy_norm,1.0,1.0
0,23,hfer,1.0,-1.0
0,23,spectral_radius,1.0,-1.0
0,24,fiedler_value,1.0,-1.0
0,24,connectivity_ratio,1.0,-1.0
0,24,spectral_entropy_norm,1.0,1.0
0,24,hfer,1.0,1.0
0,24,spectral_radius,1.0,1.0
0,25,fiedler_value,1.0,-1.0
0,25,connectivity_ratio,1.0,-1.0
0,25,spectral_entropy_norm,1.0,1.0
0,25,hfer,1.0,-1.0
0,25,spectral_radius,1.0,-1.0
0,26,fiedler_value,1.0,-1.0
0,26,connectivity_ratio,1.0,-1.0
0,26,spectral_entropy_norm,1.0,1.0
0,26,hfer,1.0,-1.0
0,26,spectral_radius,1.0,-1.0
0,27,fiedler_value,1.0,-1.0
0,27,connectivity_ratio,1.0,-1.0
0,27,spectral_entropy_norm,1.0,1.0
0,27,hfer,1.0,-1.0
0,27,spectral_radius,1.0,-1.0
0,28,fiedler_value,1.0,-1.0
0,28,connectivity_ratio,1.0,-1.0
0,28,spectral_entropy_norm,1.0,1.0
0,28,hfer,1.0,-1.0
0,28,spectral_radius,1.0,-1.0
0,29,fiedler_value,1.0,-1.0
0,29,connectivity_ratio,1.0,-1.0
0,29,spectral_entropy_norm,1.0,1.0
0,29,hfer,1.0,-1.0
0,29,spectral_radius,1.0,-1.0
0,30,fiedler_value,1.0,-1.0
0,30,connectivity_ratio,1.0,-1.0
0,30,spectral_entropy_norm,1.0,1.0
0,30,hfer,1.0,-1.0
0,30,spectral_radius,1.0,-1.0
0,31,fiedler_value,1.0,-1.0
0,31,connectivity_ratio,1.0,-1.0
0,31,spectral_entropy_norm,1.0,1.0
0,31,hfer,1.0,-1.0
0,31,spectral_radius,1.0,1.0
1,0,fiedler_value,1.0,-1.0
1,0,connectivity_ratio,1.0,-1.0
1,0,spectral_entropy_norm,1.0,1.0
1,0,hfer,1.0,1.0
1,0,spectral_radius,1.0,-1.0
1,1,fiedler_value,1.0,-1.0
1,1,connectivity_ratio,1.0,1.0
1,1,spectral_entropy_norm,1.0,1.0
1,1,hfer,1.0,1.0
1,1,spectral_radius,1.0,-1.0
1,2,fiedler_value,1.0,-1.0
1,2,connectivity_ratio,1.0,-1.0
1,2,spectral_entropy_norm,1.0,1.0
1,2,hfer,1.0,-1.0
1,2,spectral_radius,1.0,-1.0
1,3,fiedler_value,1.0,1.0
1,3,connectivity_ratio,1.0,1.0
1,3,spectral_entropy_norm,1.0,1.0
1,3,hfer,1.0,1.0
1,3,spectral_radius,1.0,1.0
1,4,fiedler_value,1.0,-1.0
1,4,connectivity_ratio,1.0,-1.0
1,4,spectral_entropy_norm,1.0,-1.0
1,4,hfer,1.0,1.0
1,4,spectral_radius,1.0,-1.0
1,5,fiedler_value,1.0,-1.0
1,5,connectivity_ratio,1.0,-1.0
1,5,spectral_entropy_norm,1.0,1.0
1,5,hfer,1.0,-1.0
1,5,spectral_radius,1.0,1.0
1,6,fiedler_value,1.0,-1.0
1,6,connectivity_ratio,1.0,-1.0
1,6,spectral_entropy_norm,1.0,1.0
1,6,hfer,1.0,-1.0
1,6,spectral_radius,1.0,1.0
1,7,fiedler_value,1.0,-1.0
1,7,connectivity_ratio,1.0,-1.0
1,7,spectral_entropy_norm,1.0,-1.0
1,7,hfer,1.0,1.0
1,7,spectral_radius,1.0,-1.0
1,8,fiedler_value,1.0,-1.0
1,8,connectivity_ratio,1.0,-1.0
1,8,spectral_entropy_norm,1.0,1.0
1,8,hfer,1.0,-1.0
1,8,spectral_radius,1.0,-1.0
1,9,fiedler_value,1.0,-1.0
1,9,connectivity_ratio,1.0,-1.0
1,9,spectral_entropy_norm,1.0,1.0
1,9,hfer,1.0,-1.0
1,9,spectral_radius,1.0,-1.0
1,10,fiedler_value,1.0,-1.0
1,10,connectivity_ratio,1.0,-1.0
1,10,spectral_entropy_norm,1.0,1.0
1,10,hfer,1.0,-1.0
1,10,spectral_radius,1.0,-1.0
1,11,fiedler_value,1.0,-1.0
1,11,connectivity_ratio,1.0,-1.0
1,11,spectral_entropy_norm,1.0,1.0
1,11,hfer,1.0,-1.0
1,11,spectral_radius,1.0,1.0
1,12,fiedler_value,1.0,-1.0
1,12,connectivity_ratio,1.0,1.0
1,12,spectral_entropy_norm,1.0,1.0
1,12,hfer,1.0,-1.0
1,12,spectral_radius,1.0,-1.0
1,13,fiedler_value,1.0,1.0
1,13,connectivity_ratio,1.0,1.0
1,13,spectral_entropy_norm,1.0,1.0
1,13,hfer,1.0,-1.0
1,13,spectral_radius,1.0,1.0
1,14,fiedler_value,1.0,-1.0
1,14,connectivity_ratio,1.0,-1.0
1,14,spectral_entropy_norm,1.0,1.0
1,14,hfer,1.0,-1.0
1,14,spectral_radius,1.0,-1.0
1,15,fiedler_value,1.0,-1.0
1,15,connectivity_ratio,1.0,-1.0
1,15,spectral_entropy_norm,1.0,1.0
1,15,hfer,1.0,-1.0
1,15,spectral_radius,1.0,1.0
1,16,fiedler_value,1.0,1.0
1,16,connectivity_ratio,1.0,1.0
1,16,spectral_entropy_norm,1.0,1.0
1,16,hfer,1.0,-1.0
1,16,spectral_radius,1.0,1.0
1,17,fiedler_value,1.0,-1.0
1,17,connectivity_ratio,1.0,-1.0
1,17,spectral_entropy_norm,1.0,1.0
1,17,hfer,1.0,-1.0
1,17,spectral_radius,1.0,1.0
1,18,fiedler_value,1.0,-1.0
1,18,connectivity_ratio,1.0,-1.0
1,18,spectral_entropy_norm,1.0,1.0
1,18,hfer,1.0,-1.0
1,18,spectral_radius,1.0,1.0
1,19,fiedler_value,1.0,-1.0
1,19,connectivity_ratio,1.0,-1.0
1,19,spectral_entropy_norm,1.0,1.0
1,19,hfer,1.0,-1.0
1,19,spectral_radius,1.0,-1.0
1,20,fiedler_value,1.0,-1.0
1,20,connectivity_ratio,1.0,-1.0
1,20,spectral_entropy_norm,1.0,1.0
1,20,hfer,1.0,-1.0
1,20,spectral_radius,1.0,-1.0
1,21,fiedler_value,1.0,1.0
1,21,connectivity_ratio,1.0,1.0
1,21,spectral_entropy_norm,1.0,1.0
1,21,hfer,1.0,-1.0
1,21,spectral_radius,1.0,-1.0
1,22,fiedler_value,1.0,1.0
1,22,connectivity_ratio,1.0,1.0
1,22,spectral_entropy_norm,1.0,1.0
1,22,hfer,1.0,-1.0
1,22,spectral_radius,1.0,-1.0
1,23,fiedler_value,1.0,1.0
1,23,connectivity_ratio,1.0,1.0
