layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
0,249,0.486954927444458,0.36827352643013,0.9983277320861816,0.5379955768585205,1.322264313697815,249,0,0.0038404147039892197,nan,nan,nan,nan,nan,nan,nan,0.8234011139200444,0.1638762951902803,nan,nan,66.40121794314173,0,indirect_injection,start,train,432,158,benign,0,249
0,283,0.47106581926345825,0.35797348618507385,0.9984637498855591,0.5371931791305542,1.315923810005188,249,34,0.0036686089731204933,0.00729101019747117,0.0020696057737487235,35.042564961113385,1.3634286517291672,1.5070073411349652,0.042494440686659654,2.498946379813502,0.7952289282700488,0.17592029018371633,0.5653710247349824,0.015270155345118688,74.00082006424556,0,indirect_injection,start,train,432,158,injected,1,283
1,249,0.6926017999649048,0.42176416516304016,0.9986270070075989,0.5316264629364014,1.6421542167663574,249,0,0.0039151271898000784,nan,nan,nan,nan,nan,nan,nan,1.3615344229463067,0.03221720011193302,nan,nan,100.04038890813774,0,indirect_injection,start,train,432,158,benign,0,249
1,283,0.689497172832489,0.4208710789680481,0.9987596273422241,0.5309392809867859,1.638262152671814,249,34,0.003858301512638479,0.004567480847414221,0.0018601517991046954,31.496090262440703,1.5089567604655614,1.632954245268361,0.025755017191990803,2.2567739623093024,1.3433021514715693,0.039955040839565185,0.5053003533568905,-0.03280117582461481,113.30122090629749,0,indirect_injection,start,train,432,158,injected,1,283
2,249,0.716667652130127,0.4243628978729248,0.9988046884536743,0.5241934061050415,1.6888084411621094,249,0,0.003941835281216311,nan,nan,nan,nan,nan,nan,nan,1.3870619739771064,-0.020849751492315216,nan,nan,102.61745291699724,0,indirect_injection,start,train,432,158,benign,0,249
2,283,0.710414469242096,0.4223792850971222,0.9989189505577087,0.5238925218582153,1.6819349527359009,249,34,0.003875946673541832,0.0045387242228793374,0.0019011481335329604,32.190240196980085,1.5192984475180222,1.645315967042498,0.025085169173183364,2.206174379711392,1.3586332723690338,-0.02424332478970037,0.5265017667844523,-0.019299414807365144,115.82559208239638,0,indirect_injection,start,train,432,158,injected,1,283
3,249,0.612090528011322,0.3846808671951294,0.9985018372535706,0.5328821539878845,1.591164469718933,249,0,0.0038808794173215873,nan,nan,nan,nan,nan,nan,nan,1.1920281894597609,0.035809690543740225,nan,nan,93.57150835973921,0,indirect_injection,start,train,432,158,benign,0,249
3,283,0.6075226068496704,0.3830820918083191,0.9986287951469421,0.5324257612228394,1.585880994796753,249,34,0.0037833989283500946,0.00610792704354872,0.0018817506838941325,31.86180257969545,1.3984291154638175,1.5260993135735206,0.03632885695244922,2.5546176368742675,1.1658838975119992,0.035257944824287624,0.5335689045936396,-0.011735806508341393,105.68043689777645,0,indirect_injection,start,train,432,158,injected,1,283
4,249,0.5576098561286926,0.3622432053089142,0.9984764456748962,0.5328232645988464,1.5393245220184326,249,0,0.003852806841999258,nan,nan,nan,nan,nan,nan,nan,1.0306071659820768,0.0903362874485307,nan,nan,86.91298277934229,0,indirect_injection,start,train,432,158,benign,0,249
4,283,0.5537251830101013,0.3611481487751007,0.9986070394515991,0.5321477651596069,1.5332355499267578,249,34,0.003726706522912255,0.0067868610456898815,0.0019351703160613075,32.76630379155006,1.3653758710207988,1.4982941083191648,0.04055943107299874,2.5988300621253493,1.0061276237777983,0.08847963318581756,0.5300353356890459,-0.008934771064860965,97.6821043502856,0,indirect_injection,start,train,432,158,injected,1,283
