layer,n_benign,n_injected,auroc_cut_conductance,dir_cut_conductance,auroc_cut_modularity,dir_cut_modularity,auroc_fiedler_value,dir_fiedler_value,auroc_spectral_entropy_norm,dir_spectral_entropy_norm,mean_separation,mean_conductance,mean_modularity,mean_accuracy,mean_ari
0,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.498946379813502,1.3634286517291672,0.042494440686659654,0.5653710247349824,0.015270155345118688
1,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.2567739623093024,1.5089567604655614,0.025755017191990803,0.5053003533568905,-0.03280117582461481
2,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.206174379711392,1.5192984475180222,0.025085169173183364,0.5265017667844523,-0.019299414807365144
3,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.5546176368742675,1.3984291154638175,0.03632885695244922,0.5335689045936396,-0.011735806508341393
4,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.5988300621253493,1.3653758710207988,0.04055943107299874,0.5300353356890459,-0.008934771064860965
5,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.5634152041243436,1.3481361612918843,0.043869445262560966,0.5265017667844523,-0.008628083129519015
6,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.869331363106675,1.2481421866362186,0.055647670508735494,0.5229681978798587,-0.010451966209319402
7,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.4044566324869154,1.334505336780149,0.048856077010166796,0.5265017667844523,-0.013461625162830837
8,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.301622302442704,1.3794649578276894,0.043066541498989606,0.5335689045936396,-0.0030600126557493775
9,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.6983172159470303,1.3200086315981174,0.0461416165243717,0.5371024734982333,-0.0012413601141739276
10,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.2128449961432493,1.4875671943298703,0.028858174435937495,0.5371024734982333,0.00020567451160680977
11,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.9628987654888486,1.5708003115682763,0.02154183729484349,0.519434628975265,-0.0005719863646205806
12,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.9507380183389893,1.5678921478119352,0.02194781354493214,0.5371024734982333,-0.0012413601141739276
13,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.834733030904325,1.6093704727500817,0.01840797584777655,0.5335689045936396,-0.0030600126557493775
14,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.9512586471637852,1.5585683246565087,0.022967224824311083,0.5300353356890459,-0.004839156028104445
15,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.8897742848499024,1.5849264844656286,0.020562284403581228,0.5229681978798587,-0.003208649219470467
