layer,head,metric,auroc,direction
0,0,fiedler_value,1.0,-1.0
0,0,connectivity_ratio,1.0,-1.0
0,0,spectral_entropy_norm,1.0,1.0
0,0,hfer,1.0,1.0
0,0,spectral_radius,1.0,1.0
0,1,fiedler_value,1.0,-1.0
0,1,connectivity_ratio,1.0,-1.0
0,1,spectral_entropy_norm,1.0,-1.0
0,1,hfer,1.0,1.0
0,1,spectral_radius,1.0,1.0
0,2,fiedler_value,1.0,1.0
0,2,connectivity_ratio,1.0,1.0
0,2,spectral_entropy_norm,1.0,1.0
0,2,hfer,1.0,-1.0
0,2,spectral_radius,1.0,-1.0
0,3,fiedler_value,1.0,-1.0
0,3,connectivity_ratio,1.0,-1.0
0,3,spectral_entropy_norm,1.0,1.0
0,3,hfer,1.0,-1.0
0,3,spectral_radius,1.0,1.0
0,4,fiedler_value,1.0,-1.0
0,4,connectivity_ratio,1.0,-1.0
0,4,spectral_entropy_norm,1.0,1.0
0,4,hfer,1.0,-1.0
0,4,spectral_radius,1.0,-1.0
0,5,fiedler_value,1.0,1.0
0,5,connectivity_ratio,1.0,1.0
0,5,spectral_entropy_norm,1.0,1.0
0,5,hfer,1.0,-1.0
0,5,spectral_radius,1.0,-1.0
0,6,fiedler_value,1.0,-1.0
0,6,connectivity_ratio,1.0,-1.0
0,6,spectral_entropy_norm,1.0,1.0
0,6,hfer,1.0,-1.0
0,6,spectral_radius,1.0,-1.0
0,7,fiedler_value,1.0,-1.0
0,7,connectivity_ratio,1.0,-1.0
0,7,spectral_entropy_norm,1.0,1.0
0,7,hfer,1.0,-1.0
0,7,spectral_radius,1.0,-1.0
0,8,fiedler_value,1.0,-1.0
0,8,connectivity_ratio,1.0,-1.0
0,8,spectral_entropy_norm,1.0,1.0
0,8,hfer,1.0,-1.0
0,8,spectral_radius,1.0,-1.0
0,9,fiedler_value,1.0,-1.0
0,9,connectivity_ratio,1.0,-1.0
0,9,spectral_entropy_norm,1.0,1.0
0,9,hfer,1.0,-1.0
0,9,spectral_radius,1.0,-1.0
0,10,fiedler_value,1.0,-1.0
0,10,connectivity_ratio,1.0,-1.0
0,10,spectral_entropy_norm,1.0,1.0
0,10,hfer,1.0,-1.0
0,10,spectral_radius,1.0,1.0
0,11,fiedler_value,1.0,1.0
0,11,connectivity_ratio,1.0,1.0
0,11,spectral_entropy_norm,1.0,1.0
0,11,hfer,1.0,-1.0
0,11,spectral_radius,1.0,-1.0
0,12,fiedler_value,1.0,1.0
0,12,connectivity_ratio,1.0,1.0
0,12,spectral_entropy_norm,1.0,1.0
0,12,hfer,1.0,-1.0
0,12,spectral_radius,1.0,-1.0
0,13,fiedler_value,1.0,-1.0
0,13,connectivity_ratio,1.0,-1.0
0,13,spectral_entropy_norm,1.0,1.0
0,13,hfer,1.0,-1.0
0,13,spectral_radius,1.0,1.0
0,14,fiedler_value,1.0,-1.0
0,14,connectivity_ratio,1.0,1.0
0,14,spectral_entropy_norm,1.0,1.0
0,14,hfer,1.0,-1.0
0,14,spectral_radius,1.0,-1.0
0,15,fiedler_value,1.0,-1.0
0,15,connectivity_ratio,1.0,-1.0
0,15,spectral_entropy_norm,1.0,1.0
0,15,hfer,1.0,-1.0
0,15,spectral_radius,1.0,1.0
1,0,fiedler_value,1.0,-1.0
1,0,connectivity_ratio,1.0,-1.0
1,0,spectral_entropy_norm,1.0,1.0
1,0,hfer,1.0,-1.0
1,0,spectral_radius,1.0,1.0
1,1,fiedler_value,1.0,1.0
1,1,connectivity_ratio,1.0,1.0
1,1,spectral_entropy_norm,1.0,1.0
1,1,hfer,1.0,-1.0
1,1,spectral_radius,1.0,-1.0
1,2,fiedler_value,1.0,-1.0
1,2,connectivity_ratio,1.0,-1.0
1,2,spectral_entropy_norm,1.0,1.0
1,2,hfer,1.0,-1.0
1,2,spectral_radius,1.0,-1.0
1,3,fiedler_value,1.0,-1.0
1,3,connectivity_ratio,1.0,-1.0
1,3,spectral_entropy_norm,1.0,1.0
1,3,hfer,1.0,-1.0
1,3,spectral_radius,1.0,-1.0
1,4,fiedler_value,1.0,-1.0
1,4,connectivity_ratio,1.0,-1.0
1,4,spectral_entropy_norm,1.0,1.0
1,4,hfer,1.0,-1.0
1,4,spectral_radius,1.0,1.0
1,5,fiedler_value,1.0,1.0
1,5,connectivity_ratio,1.0,1.0
1,5,spectral_entropy_norm,1.0,1.0
1,5,hfer,1.0,-1.0
1,5,spectral_radius,1.0,-1.0
1,6,fiedler_value,1.0,-1.0
1,6,connectivity_ratio,1.0,-1.0
1,6,spectral_entropy_norm,1.0,1.0
1,6,hfer,1.0,-1.0
1,6,spectral_radius,1.0,1.0
1,7,fiedler_value,1.0,1.0
1,7,connectivity_ratio,1.0,1.0
1,7,spectral_entropy_norm,1.0,1.0
1,7,hfer,1.0,-1.0
1,7,spectral_radius,1.0,1.0
1,8,fiedler_value,1.0,-1.0
1,8,connectivity_ratio,1.0,-1.0
1,8,spectral_entropy_norm,1.0,1.0
1,8,hfer,1.0,-1.0
1,8,spectral_radius,1.0,-1.0
1,9,fiedler_value,1.0,1.0
1,9,connectivity_ratio,1.0,1.0
1,9,spectral_entropy_norm,1.0,1.0
1,9,hfer,1.0,-1.0
1,9,spectral_radius,1.0,1.0
1,10,fiedler_value,1.0,-1.0
1,10,connectivity_ratio,1.0,-1.0
1,10,spectral_entropy_norm,1.0,1.0
1,10,hfer,1.0,-1.0
1,10,spectral_radius,1.0,1.0
1,11,fiedler_value,1.0,-1.0
1,11,connectivity_ratio,1.0,-1.0
1,11,spectral_entropy_norm,1.0,1.0
1,11,hfer,1.0,-1.0
1,11,spectral_radius,1.0,1.0
1,12,fiedler_value,1.0,1.0
1,12,connectivity_ratio,1.0,1.0
1,12,spectral_entropy_norm,1.0,1.0
1,12,hfer,1.0,-1.0
1,12,spectral_radius,1.0,-1.0
1,13,fiedler_value,1.0,1.0
1,13,connectivity_ratio,1.0,1.0
1,13,spectral_entropy_norm,1.0,1.0
1,13,hfer,1.0,1.0
1,13,spectral_radius,1.0,-1.0
1,14,fiedler_value,1.0,1.0
1,14,connectivity_ratio,1.0,1.0
1,14,spectral_entropy_norm,1.0,1.0
1,14,hfer,1.0,-1.0
1,14,spectral_radius,1.0,-1.0
1,15,fiedler_value,1.0,1.0
1,15,connectivity_ratio,1.0,1.0
1,15,spectral_entropy_norm,1.0,1.0
1,15,hfer,1.0,-1.0
1,15,spectral_radius,1.0,-1.0
2,0,fiedler_value,1.0,1.0
2,0,connectivity_ratio,1.0,1.0
2,0,spectral_entropy_norm,1.0,1.0
2,0,hfer,1.0,-1.0
2,0,spectral_radius,1.0,-1.0
2,1,fiedler_value,1.0,1.0
2,1,connectivity_ratio,1.0,1.0
2,1,spectral_entropy_norm,1.0,1.0
2,1,hfer,1.0,-1.0
2,1,spectral_radius,1.0,-1.0
2,2,fiedler_value,1.0,1.0
2,2,connectivity_ratio,1.0,1.0
2,2,spectral_entropy_norm,1.0,1.0
2,2,hfer,1.0,-1.0
2,2,spectral_radius,1.0,-1.0
2,3,fiedler_value,1.0,-1.0
2,3,connectivity_ratio,1.0,-1.0
2,3,spectral_entropy_norm,1.0,1.0
2,3,hfer,1.0,-1.0
2,3,spectral_radius,1.0,1.0
2,4,fiedler_value,1.0,1.0
2,4,connectivity_ratio,1.0,1.0
2,4,spectral_entropy_norm,1.0,1.0
2,4,hfer,1.0,-1.0
2,4,spectral_radius,1.0,-1.0
2,5,fiedler_value,1.0,1.0
2,5,connectivity_ratio,1.0,1.0
2,5,spectral_entropy_norm,1.0,1.0
2,5,hfer,1.0,-1.0
2,5,spectral_radius,1.0,1.0
2,6,fiedler_value,1.0,-1.0
2,6,connectivity_ratio,1.0,-1.0
2,6,spectral_entropy_norm,1.0,1.0
2,6,hfer,1.0,-1.0
2,6,spectral_radius,1.0,-1.0
2,7,fiedler_value,1.0,-1.0
2,7,connectivity_ratio,1.0,-1.0
2,7,spectral_entropy_norm,1.0,1.0
2,7,hfer,1.0,-1.0
2,7,spectral_radius,1.0,-1.0
2,8,fiedler_value,1.0,-1.0
2,8,connectivity_ratio,1.0,-1.0
2,8,spectral_entropy_norm,1.0,-1.0
2,8,hfer,1.0,1.0
2,8,spectral_radius,1.0,1.0
2,9,fiedler_value,1.0,-1.0
2,9,connectivity_ratio,1.0,-1.0
2,9,spectral_entropy_norm,1.0,1.0
2,9,hfer,1.0,-1.0
2,9,spectral_radius,1.0,-1.0
2,10,fiedler_value,1.0,-1.0
2,10,connectivity_ratio,1.0,-1.0
2,10,spectral_entropy_norm,1.0,1.0
2,10,hfer,1.0,-1.0
2,10,spectral_radius,1.0,1.0
2,11,fiedler_value,1.0,-1.0
2,11,connectivity_ratio,1.0,-1.0
2,11,spectral_entropy_norm,1.0,1.0
2,11,hfer,1.0,-1.0
2,11,spectral_radius,1.0,1.0
2,12,fiedler_value,1.0,-1.0
2,12,connectivity_ratio,1.0,-1.0
2,12,spectral_entropy_norm,1.0,1.0
2,12,hfer,1.0,-1.0
2,12,spectral_radius,1.0,-1.0
2,13,fiedler_value,1.0,-1.0
2,13,connectivity_ratio,1.0,-1.0
2,13,spectral_entropy_norm,1.0,1.0
2,13,hfer,1.0,-1.0
2,13,spectral_radius,1.0,-1.0
2,14,fiedler_value,1.0,-1.0
2,14,connectivity_ratio,1.0,-1.0
2,14,spectral_entropy_norm,1.0,1.0
2,14,hfer,1.0,1.0
2,14,spectral_radius,1.0,-1.0
2,15,fiedler_value,1.0,-1.0
2,15,connectivity_ratio,1.0,-1.0
2,15,spectral_entropy_norm,1.0,1.0
2,15,hfer,1.0,-1.0
2,15,spectral_radius,1.0,1.0
3,0,fiedler_value,1.0,-1.0
3,0,connectivity_ratio,1.0,-1.0
3,0,spectral_entropy_norm,1.0,1.0
3,0,hfer,1.0,-1.0
3,0,spectral_radius,1.0,1.0
3,1,fiedler_value,1.0,-1.0
3,1,connectivity_ratio,1.0,-1.0
3,1,spectral_entropy_norm,1.0,1.0
3,1,hfer,1.0,-1.0
3,1,spectral_radius,1.0,1.0
3,2,fiedler_value,1.0,-1.0
3,2,connectivity_ratio,1.0,-1.0
3,2,spectral_entropy_norm,1.0,1.0
3,2,hfer,1.0,-1.0
3,2,spectral_radius,1.0,-1.0
3,3,fiedler_value,1.0,1.0
3,3,connectivity_ratio,1.0,1.0
3,3,spectral_entropy_norm,1.0,1.0
3,3,hfer,1.0,-1.0
3,3,spectral_radius,1.0,1.0
3,4,fiedler_value,1.0,1.0
3,4,connectivity_ratio,1.0,1.0
3,4,spectral_entropy_norm,1.0,1.0
3,4,hfer,1.0,1.0
3,4,spectral_radius,1.0,-1.0
3,5,fiedler_value,1.0,1.0
3,5,connectivity_ratio,1.0,1.0
3,5,spectral_entropy_norm,1.0,1.0
3,5,hfer,1.0,-1.0
3,5,spectral_radius,1.0,-1.0
3,6,fiedler_value,1.0,1.0
3,6,connectivity_ratio,1.0,1.0
3,6,spectral_entropy_norm,1.0,1.0
3,6,hfer,1.0,-1.0
3,6,spectral_radius,1.0,-1.0
3,7,fiedler_value,1.0,-1.0
3,7,connectivity_ratio,1.0,1.0
3,7,spectral_entropy_norm,1.0,1.0
3,7,hfer,1.0,-1.0
