layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
0,237,0.2099754810333252,0.14382237195968628,0.9943649768829346,0.5879998803138733,1.4599639177322388,237,0,0.0027226682721447114,nan,nan,nan,nan,nan,nan,nan,0.3696288333320174,0.3321653939763292,nan,nan,25.224686088011538,0,indirect_injection,start,train,432,158,benign,0,237
0,271,0.2008388638496399,0.13763660192489624,0.9946199655532837,0.5875157713890076,1.45919668674469,237,34,0.002550508701863342,0.010468398246620724,0.0012207431683406884,19.673496900978535,0.9115573802071135,1.040570853396634,0.10420502746026708,4.2328143445534785,0.35458952121762877,0.3367183154854838,0.6088560885608856,0.04566556997014876,27.899334723289716,0,indirect_injection,start,train,432,158,injected,1,271
1,237,0.20099526643753052,0.14751611649990082,0.995738685131073,0.567173421382904,1.3625308275222778,237,0,0.003767075136590235,nan,nan,nan,nan,nan,nan,nan,0.3116043050451745,0.35628451317020104,nan,nan,24.417524720203705,0,indirect_injection,start,train,432,158,benign,0,237
1,271,0.20146536827087402,0.1482565999031067,0.9960423707962036,0.5658146142959595,1.3588964939117432,237,34,0.0035261890787793896,0.015103930986151032,0.0016886275749955003,27.213921998627484,0.8906952805841969,1.0197729050336626,0.10836770614499502,4.321792558160956,0.36762605546342625,0.33237647466699066,0.5793357933579336,-0.01104271763342919,27.520936157228043,0,indirect_injection,start,train,432,158,injected,1,271
2,237,0.19814281165599823,0.16171354055404663,0.9965692162513733,0.5501967072486877,1.225270390510559,237,0,0.003820254219340497,nan,nan,nan,nan,nan,nan,nan,0.3028079450718675,0.36003565180213093,nan,nan,25.303421898301558,0,indirect_injection,start,train,432,158,benign,0,237
2,271,0.1991882473230362,0.16333813965320587,0.996796190738678,0.5491182804107666,1.2194839715957642,237,34,0.0035780891404787575,0.016617993296891013,0.0015996768282010552,25.780391763288208,0.817501634609644,0.9385250435197758,0.11922738866812622,4.8203948490803255,0.32102058531678657,0.35217236939165375,0.5498154981549815,-0.041274117492714986,28.1400192666581,0,indirect_injection,start,train,432,158,injected,1,271
3,237,0.5709280371665955,0.37701430916786194,0.9983117580413818,0.5361773371696472,1.5143405199050903,237,0,0.00412419211403745,nan,nan,nan,nan,nan,nan,nan,1.012822296500014,0.06368832975289923,nan,nan,82.26466219684643,0,indirect_injection,start,train,432,158,benign,0,237
3,271,0.5652564167976379,0.37465688586235046,0.9984613060951233,0.5351707935333252,1.5087308883666992,237,34,0.003994155953758008,0.007109853748241776,0.0020152234978032964,32.47734189059793,1.3411562601201785,1.4766819184344784,0.043620710293100495,2.644354185478334,0.9843500297994581,0.055603571993131956,0.5424354243542435,-0.05536756630539888,92.88868740942515,0,indirect_injection,start,train,432,158,injected,1,271
4,237,0.5249258875846863,0.3540812134742737,0.9974040985107422,0.5546793341636658,1.4825013875961304,237,0,0.004091147955331443,nan,nan,nan,nan,nan,nan,nan,0.9654210241366049,0.11078704312577825,nan,nan,77.88864649381861,0,indirect_injection,start,train,432,158,benign,0,237
4,271,0.5206140279769897,0.3518763482570648,0.9975961446762085,0.5536691546440125,1.4795368909835815,237,34,0.003975584557759857,0.007746791564965282,0.0019056531192898462,30.711505670475162,1.277110315395315,1.4063032520202092,0.04953063442767666,2.9121757620142326,0.9434982447239881,0.09042183843305365,0.5202952029520295,-0.025399560656972048,88.60759235544786,0,indirect_injection,start,train,432,158,injected,1,271
