layer,n_benign,n_injected,auroc_cut_conductance,dir_cut_conductance,auroc_cut_modularity,dir_cut_modularity,auroc_fiedler_value,dir_fiedler_value,auroc_spectral_entropy_norm,dir_spectral_entropy_norm,mean_separation,mean_conductance,mean_modularity,mean_accuracy,mean_ari
0,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,5.23951234589642,1.1308739586148249,0.03845293895718219,0.516,-0.003066890215724908
1,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,5.284997474741527,1.1637088779487557,0.03357955233566429,0.632,0.04252586718481287
2,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,5.594334401499897,1.1188744914263886,0.036131445923223704,0.616,0.0156019365938389
3,1,1,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,3.6484005671982227,1.521640643963053,0.01328960583975416,0.632,0.04252586718481287
4,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,4.396972889732987,1.4009876253784708,0.01743288932005044,0.556,0.004320915712977774
5,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,3.2051066984318997,1.6293701301230847,0.00887400407351949,0.532,-0.013812636820352248
6,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,3.7749930454675273,1.4791889220153251,0.01555175410664985,0.52,-0.0033835195785077423
7,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,2.8469779194796057,1.6376174479861614,0.0100659334630708,0.508,-0.0013162164400905615
8,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.797209409444892,1.6558178574497442,0.009186465620583107,0.572,-0.0009199128825476141
9,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,4.857810957478743,1.323951124987774,0.02056457943101188,0.528,0.0010977966183412556
10,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.8398103316987107,1.61013929500602,0.011938478078388303,0.58,-0.030285826982873902
11,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.8739157109668017,1.576887577880642,0.014183255738184904,0.548,-0.01725857816659939
12,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,2.569501491459386,1.6220955271119988,0.012730607780231776,0.524,-0.006004358347941506
13,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,3.9820432683644347,1.4001013216224112,0.020553309469696773,0.512,-0.01206613511372743
14,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,4.741475660114596,1.2522111804626936,0.028578773206874835,0.524,-0.015636861088135157
15,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,4.060172698527337,1.4109940706741546,0.018989030133594473,0.524,-0.006004358347941506
16,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,4.754481575237024,1.2511714883379859,0.028568115311576645,0.504,-0.0019804844398456744
