level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh
head,cohesion,injected-control,0,0,39.0,-0.010577335022389889,-0.01758056879043579,0.06141551956534386,-0.17222577333450317,13.0,26.0,0.05325191409792752,0.15011119842529297,0.2861427714457109,1.0,0.3795468885497512
head,cohesion,injected-control,0,1,39.0,0.02813883312046528,0.037666141986846924,0.1092071384191513,0.2576647698879242,28.0,11.0,0.009475304279476404,0.05617912858724594,0.11177764447110577,1.0,0.17996903763901306
head,cohesion,injected-control,0,2,39.0,-0.005703256465494633,-0.0075528621673583984,0.01633315160870552,-0.3491828441619873,11.0,28.0,0.009475304279476404,0.02485555410385132,0.03139372125574885,0.9892021595680864,0.06560647054262617
head,cohesion,injected-control,0,3,39.0,0.12339430302381516,0.10809601843357086,0.17839397490024567,0.6916954517364502,31.0,8.0,0.0002940768754342571,4.399772296892479e-05,0.0001999600079984003,0.03259348130373925,0.0010554590112905253
head,cohesion,injected-control,0,4,39.0,0.059728458523750305,0.046791985630989075,0.06902433931827545,0.8653246164321899,31.0,8.0,0.0002940768754342571,1.0483017831575125e-06,0.0001999600079984003,0.0009998000399920016,0.0010554590112905253
head,cohesion,injected-control,0,5,39.0,0.010722432285547256,0.01083800196647644,0.05158498138189316,0.2078595757484436,22.0,17.0,0.5223973804968411,0.3021141588687897,0.20935812837432513,1.0,0.2952930075141996
head,cohesion,injected-control,0,6,39.0,0.03191271796822548,0.017808854579925537,0.08479826897382736,0.3763369023799896,25.0,14.0,0.10812902140605732,0.03996066749095917,0.02439512097580484,0.9656068786242752,0.05430566060700903
head,cohesion,injected-control,0,7,39.0,0.017883257940411568,0.024432659149169922,0.12307825684547424,0.14529989659786224,26.0,13.0,0.05325191409792752,0.27668023109436035,0.3625274945010998,1.0,0.4571775300112391
head,cohesion,injected-control,0,8,39.0,0.014097655192017555,0.01554475724697113,0.03635832294821739,0.38774216175079346,24.0,15.0,0.19959086691960698,0.02050083875656128,0.019596080783843232,0.944011197760448,0.04439466089083068
head,cohesion,injected-control,0,9,39.0,0.039147522300481796,0.04123184084892273,0.04803081974387169,0.8150500655174255,30.0,9.0,0.0010650196345523,1.0535477485973388e-05,0.0001999600079984003,0.004399120175964807,0.0010554590112905253
head,cohesion,injected-control,0,10,39.0,0.04692516103386879,0.03574216365814209,0.0771985650062561,0.607850193977356,28.0,11.0,0.009475304279476404,0.0014682026812806726,0.0009998000399920016,0.13437312537492502,0.0037364789815759474
head,cohesion,injected-control,0,11,39.0,-0.021510574966669083,-0.02867981791496277,0.08757300674915314,-0.2456302046775818,13.0,26.0,0.05325191409792752,0.03996066749095917,0.13257348530293941,1.0,0.20568977113668177
head,cohesion,injected-control,0,12,39.0,0.014701559208333492,0.005421042442321777,0.05400099977850914,0.2722460627555847,26.0,13.0,0.05325191409792752,0.05617912858724594,0.10077984403119376,1.0,0.16753013033756886
