level,measure,contrast,layer,head,n,mean,median,sd,dz,n_pos,n_neg,p_sign,p_wilcoxon,p_perm,p_fwer,q_bh,mean_adj,dz_adj,p_perm_adj,p_fwer_adj,covariates_used
head,cohesion,injected-control,0,0,38.0,0.01834782399237156,0.006065011024475098,0.06547875702381134,0.28021031618118286,21.0,17.0,0.6271025701571489,0.1526390165090561,0.08878224355128975,1.0,0.16410291948830452,0.014874515218139013,0.23134330835485914,0.17596480703859227,1.0,4.0
head,cohesion,injected-control,0,1,38.0,0.02835933491587639,0.047418221831321716,0.11772334575653076,0.24089813232421875,26.0,12.0,0.03355243967962451,0.1216227263212204,0.14457108578284344,1.0,0.2411087815010288,0.031786041984600465,0.28433305163046785,0.07318536292741452,1.0,4.0
head,cohesion,injected-control,0,2,38.0,-0.0027664240915328264,-0.0032916665077209473,0.017545755952596664,-0.15766912698745728,12.0,26.0,0.03355243967962451,0.19414955377578735,0.33373325334933013,1.0,0.452040808769463,-0.005544369920202521,-0.31779980242493094,0.07518496300739852,1.0,4.0
head,cohesion,injected-control,0,3,38.0,0.030274542048573494,0.03847440332174301,0.1352996826171875,0.22375914454460144,24.0,14.0,0.14330665429588407,0.13646839559078217,0.1803639272145571,1.0,0.28154369126174766,0.04242056476122381,0.3799808732678669,0.020395920815836834,0.999000199960008,4.0
head,cohesion,injected-control,0,4,38.0,0.05219189077615738,0.042942456901073456,0.06796212494373322,0.7679555416107178,30.0,8.0,0.0004719867429230362,3.367788303876296e-05,0.0001999600079984003,0.011197760447910418,0.0017063254015863493,0.049846882239842266,0.7450409468944399,0.0001999600079984003,0.07278544291141771,4.0
head,cohesion,injected-control,0,5,38.0,-0.005682263523340225,-0.010239630937576294,0.059550993144512177,-0.09541845321655273,17.0,21.0,0.6271025701571489,0.5090065002441406,0.562887422515497,1.0,0.6733606549718094,-0.011003787355992034,-0.20341604952001854,0.17216556688662268,1.0,4.0
head,cohesion,injected-control,0,6,38.0,0.017290931195020676,0.024060159921646118,0.07828252762556076,0.22087855637073517,22.0,16.0,0.417692190836533,0.32085341215133667,0.19376124775044992,1.0,0.297023230084522,0.014289530440290115,0.18366836635791772,0.28154369126174766,1.0,4.0
head,cohesion,injected-control,0,7,38.0,0.060356903821229935,0.051377370953559875,0.1135903000831604,0.531356155872345,26.0,12.0,0.03355243967962451,0.0029711138922721148,0.003199360127974405,0.43071385722855426,0.013650603212690795,0.050450551610832346,0.5087469154646224,0.010997800439912017,0.8038392321535693,4.0
head,cohesion,injected-control,0,8,38.0,0.02283780463039875,0.025715436786413193,0.03919203579425812,0.5827154517173767,28.0,10.0,0.0050976432976312935,0.0005679023452103138,0.0007998400319936012,0.22475504899020196,0.004310716804007619,0.012863485631649959,0.38573852574350054,0.03459308138372325,0.9986002799440112,4.0
head,cohesion,injected-control,0,9,38.0,0.03399745002388954,0.02804580330848694,0.06782259047031403,0.5012702941894531,26.0,12.0,0.03355243967962451,0.002674529794603586,0.0007998400319936012,0.5714857028594281,0.004310716804007619,0.016970190502006762,0.34771967304157375,0.04099180163967207,0.9998000399920016,4.0
head,cohesion,injected-control,0,10,38.0,0.01935432478785515,0.025963619351387024,0.07709720730781555,0.25103795528411865,26.0,12.0,0.03355243967962451,0.0718633383512497,0.1321735652869426,1.0,0.22294488470726906,0.007149970810900293,0.10635690643497923,0.5360927814437113,1.0,4.0
