layer,n_nodes,fiedler_value,connectivity_ratio,spectral_entropy_norm,hfer,spectral_radius,n_benign,n_injection,density_benign,density_injection,density_cross,cut_weight,conductance,normalized_cut,modularity,separation,cut_conductance,cut_modularity,accuracy,ari,bandwidth,example_id,attack_category,position,split,n_chars_context,n_chars_attack,condition,label,n_tokens
0,280,0.5423961281776428,0.4795975387096405,0.9991333484649658,0.514319121837616,1.1309401988983154,280,0,0.0034441792985252847,nan,nan,nan,nan,nan,nan,nan,0.7578960030791392,0.17521557891118972,nan,nan,61.604109140198524,0,direct_injection,start,train,432,133,benign,0,280
0,318,0.5385020971298218,0.4761151075363159,0.9992391467094421,0.5138735771179199,1.1310334205627441,281,37,0.0031184690199890274,0.005554817240425125,0.0025718135309136985,53.47829056181945,1.5665251926681492,1.7630640901437253,0.023468243536915546,1.6183264318438983,0.7485680655047541,0.1745182387402146,0.6069182389937107,-0.08247491070827932,69.52615001457497,0,direct_injection,start,train,432,133,injected,1,318
1,280,0.3832462430000305,0.302672803401947,0.9982078671455383,0.537743091583252,1.2662063837051392,280,0,0.0033956301065387303,nan,nan,nan,nan,nan,nan,nan,0.5956263468511949,0.24049569738240095,nan,nan,53.078790512519724,0,direct_injection,start,train,432,133,benign,0,280
1,318,0.3828543424606323,0.3038541078567505,0.9983692169189453,0.5368993282318115,1.2599939107894897,281,37,0.00320777863227619,0.007596861162396321,0.0018973087512946876,39.452638174421736,1.3219028703523392,1.4668883860095339,0.04748409517502514,2.6018441563455217,0.5671869825261392,0.23349123996087676,0.6477987421383647,0.06093484587365196,59.62441614338685,0,direct_injection,start,train,432,133,injected,1,318
2,280,0.3990606665611267,0.30846938490867615,0.9982694387435913,0.5353066921234131,1.29367995262146,280,0,0.0034092648992377615,nan,nan,nan,nan,nan,nan,nan,0.6219684243071782,0.23396237236874173,nan,nan,56.110403270147344,0,direct_injection,start,train,432,133,benign,0,280
2,318,0.39879292249679565,0.3097779452800751,0.9984207153320312,0.5347439050674438,1.2873508930206299,281,37,0.0032403566863081035,0.007516136738613623,0.001831984868715712,38.094293360074516,1.3109454637420281,1.4499765378806826,0.04768214330981398,2.6938404080698435,0.6382599534329836,0.219992142594195,0.6383647798742138,0.025282752657661476,62.93282516469796,0,direct_injection,start,train,432,133,injected,1,318
3,280,0.7337790131568909,0.42900171875953674,0.9990637302398682,0.515156090259552,1.7104337215423584,280,0,0.0035243599241939327,nan,nan,nan,nan,nan,nan,nan,1.4508550139106657,0.03703627719356105,nan,nan,120.28246185135805,0,direct_injection,start,train,432,133,benign,0,280
3,318,0.7339324951171875,0.42912793159484863,0.9991816282272339,0.5144469738006592,1.7102882862091064,281,37,0.0034740944487357023,0.002469472891562646,0.0017462353787799174,36.3112184663496,1.693229563828836,1.8177974789862348,0.01163015296244328,1.6773363522738713,1.471004679871798,0.03390165396333564,0.6415094339622641,-0.09192221404858197,136.38172446306328,0,direct_injection,start,train,432,133,injected,1,318
4,280,0.8163034319877625,0.45410940051078796,0.9990745782852173,0.5153327584266663,1.797592043876648,280,0,0.0035302382302808875,nan,nan,nan,nan,nan,nan,nan,1.6198694203447326,-0.009688428465877329,nan,nan,126.59222600777926,0,direct_injection,start,train,432,133,benign,0,280
4,318,0.8139235377311707,0.4543152153491974,0.9991897344589233,0.5150401592254639,1.791539192199707,281,37,0.0034907598982192546,0.002138348725489701,0.0017250250156379773,35.8701701751761,1.7259076745750053,1.8485038204109134,0.00938113429300148,1.5838128335722494,1.6186925799804295,-0.003965124497983891,0.5440251572327044,-0.052322648849445576,143.14562240080818,0,direct_injection,start,train,432,133,injected,1,318
