layer,n_benign,n_injected,auroc_cut_conductance,dir_cut_conductance,auroc_cut_modularity,dir_cut_modularity,auroc_fiedler_value,dir_fiedler_value,auroc_spectral_entropy_norm,dir_spectral_entropy_norm,mean_separation,mean_conductance,mean_modularity,mean_accuracy,mean_ari
0,3,3,0.6666666666666667,-1.0,0.5555555555555556,-1.0,0.7777777777777778,-1.0,0.7777777777777778,1.0,1.941896933480664,1.6286447719608264,0.016116310406708485,0.6378099674137281,-0.07228793208389572
1,3,3,0.6666666666666667,-1.0,0.8888888888888888,-1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,2.958721740889277,1.406290436497849,0.0311903805205347,0.5975655154188643,-0.009782314883181556
2,3,3,0.7777777777777778,1.0,0.7777777777777778,-1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,3.219965006163465,1.357286934353482,0.0336730749770295,0.5988911396784573,-0.023152951249940493
3,3,3,0.5555555555555556,-1.0,0.5555555555555556,1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,1.7998936427449703,1.7419596209398767,0.008072563344025173,0.6448700873889358,-0.0744562624971507
4,3,3,0.6666666666666667,-1.0,0.6666666666666666,1.0,0.6666666666666667,-1.0,0.7777777777777778,1.0,1.7569578073404657,1.7585202623011351,0.007043050462058959,0.5565538356847155,-0.044528283776924894
5,3,3,0.6666666666666666,1.0,0.6666666666666666,1.0,0.7777777777777778,-1.0,0.7777777777777778,1.0,2.0927462483543127,1.6789284541438783,0.011285654234531449,0.5705385981738498,-0.050062340817041584
6,3,3,0.8888888888888888,-1.0,0.5555555555555556,1.0,0.7777777777777778,-1.0,0.7777777777777778,1.0,2.5123164621545118,1.573022112059246,0.01707876832927398,0.5763889784903844,0.009996842592947313
7,3,3,0.5555555555555556,-1.0,0.5555555555555556,1.0,0.7777777777777778,-1.0,0.7777777777777778,1.0,2.410616587295723,1.5786344629748053,0.01756441724973849,0.5670159452432119,-0.0018265283720250325
8,3,3,0.7777777777777778,-1.0,0.5555555555555556,-1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,2.319879902335494,1.6326081069258773,0.013187280656353077,0.6512893774679238,-0.07565385118713357
9,3,3,0.5555555555555556,1.0,0.5555555555555556,-1.0,0.7777777777777778,1.0,0.6666666666666666,1.0,3.239770852676397,1.4035862978159024,0.0277079489360734,0.6952289951395371,-0.060829440204970796
10,3,3,0.5555555555555556,1.0,0.5555555555555556,-1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,3.482344219660707,1.3584092828137262,0.03025395029402252,0.6879208582246288,-0.08186070463075672
11,3,3,0.5555555555555556,1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,0.7777777777777778,1.0,2.78053984300724,1.4914349141608414,0.02389055576167896,0.6103214232636066,0.03735675844263598
12,3,3,0.6666666666666667,-1.0,0.6666666666666667,-1.0,0.5555555555555556,1.0,0.6666666666666666,1.0,3.6429185040295664,1.2969657967844752,0.03687560260403029,0.5988426354021961,0.015822350743672272
13,3,3,0.5555555555555556,1.0,0.7777777777777778,-1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,3.7851146412160737,1.2663706166532422,0.03916922345806851,0.6275724589374266,-0.0074536662060008425
14,3,3,0.5555555555555556,-1.0,0.5555555555555556,1.0,0.6666666666666666,1.0,0.7777777777777778,1.0,3.740766629313477,1.2748176561769722,0.03926141415447313,0.6446920790844304,0.03187205435371416
15,3,3,0.5555555555555556,-1.0,0.6666666666666667,-1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,3.197003662427301,1.4030018851633592,0.02846618585921297,0.6508138921981708,0.032799105587766414
16,3,3,0.5555555555555556,-1.0,0.6666666666666667,-1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,3.474437612210753,1.3380406143681836,0.033509504517177116,0.6364064495873313,-0.0026631285161893095
17,3,3,0.5555555555555556,1.0,0.5555555555555556,-1.0,0.5555555555555556,1.0,0.7777777777777778,1.0,2.9987338816472495,1.4483433709882656,0.025336830270860044,0.6020678113675864,-0.011348808210939617
18,3,3,0.7777777777777778,1.0,0.6666666666666667,-1.0,0.6666666666666666,1.0,0.7777777777777778,1.0,2.7679188512542248,1.489967093680222,0.023747554657555337,0.6066876644784788,-0.0034498064136022333
19,3,3,0.7777777777777778,1.0,0.6666666666666667,-1.0,0.6666666666666666,1.0,0.7777777777777778,1.0,2.6449218170386417,1.5325387453104768,0.02027551149870548,0.5553278482881813,-0.00191044043013252
20,3,3,0.5555555555555556,-1.0,0.6666666666666667,-1.0,0.5555555555555556,-1.0,0.7777777777777778,1.0,3.01187762093395,1.4467398474777118,0.025016901685607246,0.5425110114264605,0.0006878589546091916
21,3,3,0.5555555555555556,1.0,0.6666666666666667,-1.0,0.5555555555555556,-1.0,0.7777777777777778,1.0,3.0215060523102752,1.4190443382183304,0.028633492426020563,0.5836132484054518,0.027455731382355453
